﻿翻訳ID,日本語,英語,中国語（簡体字）,韓国語
saveText_61,2日目 ゼロデイ,Жизнь «Зиро Дэй» – День 2,第2天 零日,Zero Day - 2일 차
saveText_62,2日目 自由時間,Жизнь «Зиро Дэй» – День 2 – Свободное время,第2天 自由时间,2일 차 자유시간
saveText_63,あの日の記憶,Старое воспоминание,那一天的记忆,그 날의 기억
saveText_64,3日目 ゼロデイ,Жизнь Нулевого Дня – День 3,第3天 零日,Zero Day - 3일 차
saveText_65,5日目 ゼロデイ,Жизнь Нулевого Дня – День 5,第5天 零日,Zero Day - 5일 차
saveText_66,7日目 ゼロデイ,Жизнь Нулевого Дня – День 7,第7天 零日,Zero Day - 7일 차
saveText_67,10日目 ゼロデイ,Жизнь Нулевого Дня – День 10,第10天 零日,Zero Day - 10일 차
saveText_68,12日目 ゼロデイ,Жизнь Нулевого Дня – День 12,第12天 零日,Zero Day - 12일 차
saveText_69,12日目 ゼロデイ—ケイトの部屋,Жизнь Нулевого Дня – День 12 – Комната Кейт,第12天 零日 - 凯特的房间,"Zero Day - 12일 차, 케이트의 방"
saveText_70,12日目 ???,Жизнь Нулевого Дня – День 12 – ???,第12天 ？？？,??? - 12일 차
saveText_71,13日目 ゼロデイ,Жизнь Нулевого Дня – День 13,第13天 零日,Zero Day - 13일 차
saveText_76,13日目 ゼロデイ2,Жизнь Нулевого Дня – День 13 – Часть 2,第13天 零日2,Zero Day - 13일 차(2)
saveText_72,17日目 ゼロデイ,Жизнь Нулевого Дня – День 17,第17天 零日,Zero Day - 17일 차
saveText_73,19日目 ゼロデイ,Жизнь Нулевого Дня – День 19,第19天 零日,Zero Day - 19일 차
saveText_74,21日目 ゼロデイ,Жизнь Нулевого Дня – День 21,第21天 零日,Zero Day - 21일 차
saveText_75,22日目 ゼロデイ,Жизнь Нулевого Дня – День 22,第22天 零日,Zero Day - 22일 차
saveText_77,17日目 ドクの診療所,Жизнь Нулевого Дня – День 17 – Клиника Дока,第17天 大夫的诊所,독의 진료소 - 17일 차
saveText_78,17日目 Wiの隠れ家,Жизнь Нулевого Дня – День 17 – Убежище Ви,第17天 Wi的藏身处,Wi의 은신처 - 17일 차
saveText_79,21日目 ドクの診療所1,Жизнь Нулевого Дня – День 21 – Клиника Дока – Часть 1,第21天 大夫的诊所1,독의 진료소 1 - 21일 차
saveText_80,21日目 ドクの診療所2,Жизнь Нулевого Дня – День 21 – Клиника Дока – Часть 2,第21天 大夫的诊所2,독의 진료소 2 - 21일 차
saveText_81,21日目 イデアルハック,Жизнь Нулевого Дня – День 21 – Идеальный Взлом,第21天 理想骇解,아이디얼 해킹 - 21일 차
saveText_82,あの日の夢,Старый сон,梦中的过往,그날의 꿈
saveText_83,21日目 パーティー,Жизнь Нулевого Дня – День 21 – Вечеринка,第21天 派对,파티 - 21일 차
saveText_84,22日目 惨劇,Жизнь Нулевого Дня – День 22 – Трагедия,第22天 惨剧,참극의 현장 - 22일 차
saveText_85,22日目 隠し部屋,Жизнь Нулевого Дня – День 22 – Укрытие Ви,第22天 秘密房间,비밀 방 - 22일 차
saveText_86,22日目 スプロールハイブ,Жизнь Нулевого Дня – День 22 – Разросшийся Улей,第22天 蔓生之巢,스프롤 하이브 - 22일 차
saveText_87,22日目 地上へ,Жизнь Нулевого Дня – День 22 – На поверхность,第22天 往地表去,지상으로 - 22일 차
saveText_88,22日目 モーリィ・ハウス,Жизнь Нулевого Дня – День 22 – Светлый Дом,第22天 莫莉公馆,몰리 하우스 - 22일 차
saveText_89,22日目 演説広場1,Жизнь Нулевого Дня – День 22 – Площадь 1,第22天 演讲广场1,연설 광장 1 - 22일 차
saveText_90,22日目 演説広場2,Жизнь Нулевого Дня – День 22 – Площадь 2,第22天 演讲广场2,연설 광장 2 - 22일 차
saveText_91,22日目 演説広場3,Жизнь Нулевого Дня – День 22 – Площадь 3,第22天 演讲广场3,연설 광장 3 - 22일 차
saveText_92,22日目 モーリィ・ハウス通路,Жизнь Нулевого Дня – День 22 – Коридор Светлого Дома,第22天 莫莉公馆通道,몰리 하우스 통로 - 22일 차
saveText_93,22日目 モーリィ・ハウス1階,"Жизнь Нулевого Дня – День 22 – Светлый Дом, 1-й этаж",第22天 莫莉公馆1层,몰리 하우스 1F - 22일 차
saveText_94,22日目 モーリィ・ハウス2階小部屋,"Жизнь Нулевого Дня – День 22 – Светлый Дом, 2-й этаж, Маленькая комната",第22天 莫莉公馆2层小房间,몰리 하우스 2F 작은 방 - 22일 차
saveText_95,22日目 サーバールーム,Жизнь Нулевого Дня – День 22 – Серверная,第22天 服务器机房,서버실 - 22일 차
saveText_96,22日目 イデアル・ハック1,Жизнь Нулевого Дня – День 22 – Идеальный Взлом – Часть 1,第22天 理想骇解1,아이디얼 해킹 1 - 22일 차
saveText_97,22日目 イデアル・ハック2,Жизнь Нулевого Дня – День 22 – Идеальный Взлом – Часть 2,第22天 理想骇解2,아이디얼 해킹 2 - 22일 차
saveText_98,22日目銀河鉄道ステーション,Жизнь Нулевого Дня – Моллианская станция,第22天 银河铁道莫莉安站,모리안 은하철도역 - 22일 차
saveText_99,22日目 モーリィの墓,Жизнь Нулевого Дня – День 22 – Гробница Молли,第22天 莫莉之墓,몰리의 무덤 - 22일 차
saveText_100,銀河鉄道車内,На борту Галактической железной дороги,银河铁道车内,은하철도 내부
,,,,
ファイル選択画面,,,,
オートセーブ,オートセーブ,Автосохранение,自动存档,자동 저장
ファイル,ファイル,Файл,档案,파일
どのファイルをロードしますか？,どのファイルをロードしますか？,Загрузить файл,请选择要读取的档案。,어떤 파일을 불러오시겠습니까?
どのファイルにセーブしますか？,どのファイルにセーブしますか？,Сохранить файл,请选择要存档的档案。,어느 파일에 저장하시겠습니까?
最新の時空をロードしますか？,最新の時空をロードしますか？,Загрузить последнее сохранение?,是否读取最新时空？,최신 시공을 불러오시겠습니까?
この時空に移動しますか？,この時空に移動しますか？,Переместиться в это место?,是否前往该时空？,이 시공으로 이동하시겠습니까?
※最新の選択がその後の世界へ反映されます,※最新の選択がその後の世界へ反映されます,Внимание: Ваши решения повлияют на будущие события.,※您做出的最新选择将影响此后的世界。,※최근에 한 선택이 이후 세계에 반영됩니다.
メニュー項目,,,,
メニュー,メニュー,Меню,菜单,메뉴
アイテム,アイテム,Предметы,道具,아이템
オプション,オプション,Настройки,选项,옵션
セーブ,セーブ,Сохранить,存档,저장
終了,終了,Выход,退出,종료
memory,memory,Воспоминания,memory,기억
TIMES,TIMES,ВРЕМЕНА,TIMES,시간
はじめる,はじめる,Новая игра,开始,시작
はい,はい,Да,是,예
いいえ,いいえ,Нет,否,아니요
オプション項目,,,,
フルスクリーン,フルスクリーン,Полноэкранный режим,全屏,전체 화면
言語設定,言語設定,Язык,语言设定,언어설정
全体音量,全体音量,Общая громкость,全体音量,전체 음량
BGM 音量,BGM音量,Громкость музыки,背景音乐,BGM 음량
BGS 音量,BGS音量,Громкость звуков,背景音效,BGS 음량
ME 音量,ME音量,Громкость муз. эффектов,主题乐,ME 음량
SE 音量,SE音量,Громкость звуковых эффектов,效果音,SE 음량
メッセージ音,メッセージ音,Звуки мессенджера,消息提示音,메시지 음량
クレジット,クレジット,Титры,职员名单,제작진
コマンド項目,,,,
ニューゲーム,ニューゲーム,Новая игра,新游戏,새 게임
コンティニュー,コンティニュー,Продолжить,继续,이어서 하기
タイトルへ,タイトルへ,На главный экран,返回标题界面,타이틀 화면으로
やめる,やめる,Отмена,取消,취소
キーコンフィグ用語,,,,
決定,決定,ОК,确定,결정
キャンセル,キャンセル,Отмена,取消,취소
ダッシュ,ダッシュ,Рывок,冲刺,달리기
次,次,Далее,下一个,다음
前,前,Назад,前一个,이전
メニュー/キャンセル,メニュー/キャンセル,Меню/Отмена,菜单/取消,메뉴/취소
↑,↑,↑,↑,↑
↓,↓,↓,↓,↓
←,←,←,←,←
→,→,→,→,→
設定を消去,設定を消去,Удалить,清除设定,설정 삭제
このボタンには%1が割り当て済みです,このボタンには%1が割り当て済みです,%1 назначено на эту кнопку.,此按键已被用于%1,%1 설정이 이 버튼에 할당되어 있습니다
設定を保存,設定を保存,Сохранить настройки,保存设定,설정 저장
WASD,WASD,WASD,WASD,WASD
WASDのキーで移動できるようにします。,WASDのキーで移動できるようにします。,WASD,把WASD键设为移动键。,WASD키로 이동합니다
変更を保存せずにやめる,変更を保存せずにやめる,Выход,不保存变更并结束,변경 사항을 저장하지 않고 취소
初期設定に戻す,初期設定に戻す,Сброс,恢复初始设定,초기 설정으로
初期設定に戻します。,初期設定に戻します。,Сброс,恢复初始设定。,초기 설정으로 되돌립니다.
ボタン表記変更,ボタン表記変更,Изменить обозначения кнопок,变更按键符号,버튼 표기 변경
キー配置,キー配置,Раскладка клавиш,按键配置,키 배치
ゲームパッドコンフィグ,ゲームパッドコンフィグ,Настройки геймпада,游戏手柄设置,게임 패드 설정
キーコンフィグ,キーコンフィグ,Настройки клавиатуры,按键设置,키 설정
"ゲームパッドが接続されていません\\
ボタンを押して再度試してください","ゲームパッドが接続されていません\\
ボタンを押して再度試してください","Геймпад не подключён.
Нажмите кнопку и попробуйте снова.","未连接游戏手柄，\\
请按键重试","게임 패드가 연결되어 있지 않습니다\\
버튼을 눌러서 다시 시도해 주세요."
"コンフィグを終了するために、\\
ボタンから手を放してください。","コンフィグを終了するために、\\
ボタンから手を放してください。","Отпустите кнопку, чтобы выйти из настроек.","请松开按键，\\
结束设置。","버튼에서 손을 떼면\\
설정을 종료합니다."
,,,,
